pdb,protein_A,protein_B,ligand_C,official_class,family,recommended_first_chain,status,rationale,source_url,source_input,source_sha256,annotation_cif_sha256
7DY7,Programmed cell death 1 ligand 1,Programmed cell death 1 ligand 1,HOU,homodimerization,other,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/7DY7.json,2b915fcb0a90feb54cb28d5f7121cc9c83d7f041ff2cf16129acc9089569cdcd,3c16af676166148ee8a272b35d8863abf419330ffd0c7fdf632659bb6d4ff0de
7EG1,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",Schlafen family member 12,X5M,heterodimerization-nondegrader,PDE3A-SLFN12,A,anchor_hypothesis,DNMDP binds PDE3A catalytic pocket,https://www.nature.com/articles/s41467-021-26546-8,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/7EG1.json,284bd51d50be564edafed3b3baa2dbf3cad7c20152004a269bf82da988308171,570320b5fed80c0f877570d07ddd027cdd5507a90883665f6421ad0176d8af2d
7M2K,Ubiquitin-conjugating enzyme E2 R1,Ubiquitin,GZM,heterodimerization-nondegrader,other,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/7M2K.json,33a7cb81d0101dd8fc848354379af1c4cd615612d0a627fd73d71d776cd6e628,aac63eac3587ea5725a28ce06a62451c69cc0e40185f07778efe218fd3354e5e
7TE8,CA14,CA14,P0T,heterodimerization-nondegrader,other,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/7TE8.json,fcebbae8810b45e7d6d010ef912624c0aba499e8479ac6c2c1efaf08a4488ad4,b23b048773c4260cef6e0aa0fa5f0b4cd8ebf2b7dba0e8a1b8431c2676706f16
7U8F,Protein cereblon,IKZF2,LWK,heterodimerization-degrader,CRBN,A,anchor_hypothesis,"CRBN pocket; family-level anchor hypothesis, not measured kinetic order",https://www.nature.com/articles/nature13527,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/7U8F.json,19ae34ccc22b83e7230a0b21b77999a5bf14cd1ac61c4f77905272e497abe4e8,a3d1345b5dcb1c3ae5c5807b128a9f94353d390415ba063fb06d99d31afcde74
8A62,14-3-3 protein sigma,Forkhead box protein O1,L7L,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8A62.json,5131d57feff6f079189af11d1379524f8449fd3cc056e48d2350aad1916105a7,73335390396818d3ca04e9ab78c9a3e080c1f717448307e807717d0314395d47
8A65,14-3-3 protein sigma,Forkhead box protein O1,L70,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8A65.json,ecc643de03d22e322c35276c4ab428a6632ba47115d7d37ea95586151d47e090,235b6bf869d76f253957151a00f2fdafa16d4b65206747f1c665d88ce89fb1de
8A68,14-3-3 protein sigma,RAF proto-oncogene serine/threonine-protein kinase,L7U,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8A68.json,fd053a7a195db5e0d536f5e4ee9bea5c13690f93d95172f4e812560519e531df,57e0038c85ec0fa7a65af180ef656241daa980f9f227a3ff88f70633e6c3667e
8A6F,14-3-3 protein sigma,RAF proto-oncogene serine/threonine-protein kinase,O56,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8A6F.json,f995129aaa5a1f5878b45eb49bd7e04ab9835ab626795c183d7bc82db368ba96,89782d45a104da1f98450e0b3e06713d6685e9bb12ee141baba1b0ead5943de4
8A6H,14-3-3 protein sigma,RAF proto-oncogene serine/threonine-protein kinase,L6L,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8A6H.json,1a3eb30452a82ea25bad0d5c0a74fb257608e89c2908a4cdc2fad0fdc4bc803c,384267557dc31eee45eba71ec8d6bc8df452d15243ad8b020e96429d3af9fcbc
